date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,9,2,0.0,10.0,1,1,11,06:00 AM,04:25 PM,07:49 AM,06:20 PM,-3,2,6,2,20,46,56,0.0,1027,9,10,82,14
2020-01-23,16,9,0.0,5.4,1,1,3,06:55 AM,05:20 PM,07:48 AM,06:21 PM,10,11,12,11,20,78,86,6.6,1018,16,7,127,13
2020-01-24,16,11,0.0,10.7,1,1,0,07:44 AM,06:16 PM,07:48 AM,06:22 PM,8,12,13,12,23,24,74,0.1,1017,16,8,300,15
2020-01-25,14,7,0.0,10.0,1,1,0,08:28 AM,07:14 PM,07:48 AM,06:23 PM,4,9,10,9,15,19,69,0.0,1022,14,10,302,10
2020-01-26,11,4,0.0,5.4,1,1,4,09:08 AM,08:09 PM,07:47 AM,06:23 PM,8,9,10,9,12,71,84,12.0,1019,11,9,186,8
2020-01-27,18,11,0.0,10.8,1,1,11,09:43 AM,09:04 PM,07:47 AM,06:24 PM,12,13,14,13,13,45,86,3.2,1015,18,9,18,9
2020-01-28,15,10,0.0,10.8,1,1,18,10:14 AM,09:57 PM,07:46 AM,06:25 PM,8,11,12,11,18,10,76,0.0,1016,15,10,109,11
2020-01-29,15,10,0.0,5.4,1,1,26,10:44 AM,10:50 PM,07:46 AM,06:26 PM,10,11,13,11,28,70,83,11.8,1013,15,9,73,18
2020-01-30,15,8,0.0,10.8,1,1,33,11:14 AM,11:42 PM,07:45 AM,06:27 PM,7,9,11,9,20,16,76,0.0,1018,15,10,76,14
2020-01-31,14,11,0.0,5.4,1,1,37,11:43 AM,No moonset,07:45 AM,06:28 PM,11,12,13,12,18,86,88,15.3,1017,14,9,21,12
2020-02-01,14,9,0.0,7.0,1,1,49,12:14 PM,12:35 AM,07:44 AM,06:29 PM,7,9,11,9,22,56,78,0.3,1020,14,10,312,15
2020-02-02,16,9,0.0,10.9,1,1,57,12:47 PM,01:30 AM,07:43 AM,06:30 PM,7,11,12,11,24,0,70,0.0,1022,16,10,251,15
2020-02-03,19,13,0.0,10.9,1,1,64,01:25 PM,02:25 AM,07:43 AM,06:30 PM,12,15,16,15,25,8,79,0.0,1019,19,10,202,15
2020-02-04,20,17,0.0,5.4,1,1,72,02:07 PM,03:24 AM,07:42 AM,06:31 PM,16,19,19,19,35,73,87,0.4,1016,20,10,187,20
2020-02-05,21,15,0.0,5.5,1,1,79,02:57 PM,04:24 AM,07:42 AM,06:32 PM,18,18,19,18,40,74,92,17.2,1010,21,9,168,22
2020-02-06,19,10,0.0,5.5,1,1,87,03:54 PM,05:24 AM,07:41 AM,06:33 PM,14,15,16,15,42,87,89,31.2,1002,19,8,272,26
2020-02-07,12,4,0.0,10.9,1,1,95,04:57 PM,06:22 AM,07:40 AM,06:34 PM,-0,4,8,4,28,10,58,0.2,1016,12,10,275,20
2020-02-08,18,10,0.0,7.0,1,1,100,06:04 PM,07:17 AM,07:39 AM,06:35 PM,10,14,14,14,24,51,73,0.3,1023,18,10,213,14
2020-02-09,18,13,0.0,10.1,1,1,100,07:14 PM,08:06 AM,07:39 AM,06:36 PM,13,15,16,15,30,32,83,0.0,1025,18,10,119,19
2020-02-10,21,17,0.0,8.5,1,1,83,08:24 PM,08:50 AM,07:38 AM,06:36 PM,17,19,19,19,36,65,88,0.9,1020,21,10,166,20
2020-02-11,22,19,0.0,5.5,1,1,75,09:32 PM,09:31 AM,07:37 AM,06:37 PM,19,20,21,20,22,76,93,0.7,1018,22,7,208,12
2020-02-12,22,18,0.0,5.5,1,1,68,10:39 PM,10:09 AM,07:36 AM,06:38 PM,18,20,20,20,33,68,92,5.1,1015,22,8,175,18
2020-02-13,19,11,0.0,8.6,1,1,60,11:45 PM,10:46 AM,07:35 AM,06:39 PM,14,16,17,16,32,64,84,10.0,1016,19,9,334,21
2020-02-14,14,7,0.0,11.1,1,1,53,No moonrise,11:24 AM,07:34 AM,06:40 PM,3,7,10,7,30,9,61,0.0,1027,14,10,15,22
2020-02-15,15,7,0.0,11.1,1,1,45,12:49 AM,12:03 PM,07:34 AM,06:40 PM,4,9,11,9,25,10,60,0.0,1027,15,10,100,17
2020-02-16,16,13,0.0,5.5,1,1,38,01:53 AM,12:46 PM,07:33 AM,06:41 PM,11,13,15,13,19,87,81,3.8,1019,16,8,85,13
2020-02-17,19,13,0.0,7.1,1,1,30,02:55 AM,01:32 PM,07:32 AM,06:42 PM,14,15,16,15,14,65,91,0.7,1017,19,7,137,9
