date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,29,19,0.0,11.6,1,1,11,04:54 AM,04:19 PM,06:48 AM,06:07 PM,14,24,24,23,21,8,59,0.0,1016,29,10,104,16
2020-01-23,27,18,0.0,11.6,1,1,3,05:49 AM,05:14 PM,06:48 AM,06:07 PM,16,24,24,23,11,8,66,0.0,1013,27,10,189,8
2020-01-24,29,19,0.0,11.6,1,1,0,06:40 AM,06:08 PM,06:48 AM,06:08 PM,17,25,25,24,17,11,67,0.0,1014,29,10,26,12
2020-01-25,30,20,0.0,11.6,1,1,0,07:27 AM,07:01 PM,06:48 AM,06:08 PM,17,26,26,24,14,19,66,0.1,1015,30,10,202,10
2020-01-26,29,20,0.0,11.6,1,1,4,08:10 AM,07:52 PM,06:48 AM,06:09 PM,17,26,26,24,11,5,67,0.0,1015,29,10,199,7
2020-01-27,32,19,0.0,11.6,1,1,11,08:50 AM,08:41 PM,06:48 AM,06:09 PM,18,25,25,24,11,7,69,0.0,1014,32,10,167,8
2020-01-28,28,19,0.0,11.6,1,1,18,09:28 AM,09:29 PM,06:47 AM,06:10 PM,18,25,25,24,10,21,74,0.0,1012,28,10,191,7
2020-01-29,31,18,0.0,11.6,1,1,26,10:03 AM,10:16 PM,06:47 AM,06:11 PM,17,25,25,24,11,13,67,0.0,1013,31,10,162,7
2020-01-30,30,19,0.0,11.6,1,1,33,10:38 AM,11:03 PM,06:47 AM,06:11 PM,17,25,25,24,14,11,71,0.0,1013,30,10,156,10
2020-01-31,31,20,0.0,11.6,1,1,37,11:13 AM,11:50 PM,06:47 AM,06:12 PM,16,26,26,25,11,5,61,0.0,1013,31,10,239,7
2020-02-01,29,23,0.0,11.6,1,1,49,11:50 AM,No moonset,06:47 AM,06:12 PM,17,27,27,25,34,10,64,0.0,1017,29,10,23,27
2020-02-02,26,20,0.0,11.6,1,1,57,12:28 PM,12:38 AM,06:46 AM,06:13 PM,14,24,24,23,36,3,60,0.0,1017,26,10,24,29
2020-02-03,30,18,0.0,11.6,1,1,64,01:11 PM,01:30 AM,06:46 AM,06:13 PM,15,25,25,24,16,7,62,0.0,1015,30,10,154,12
2020-02-04,31,20,0.0,11.6,1,1,72,01:58 PM,02:23 AM,06:46 AM,06:13 PM,15,26,26,25,10,2,57,0.0,1013,31,10,216,7
2020-02-05,29,19,0.0,11.6,1,1,79,02:50 PM,03:20 AM,06:46 AM,06:14 PM,17,26,26,24,10,6,67,0.0,1011,29,10,202,7
2020-02-06,30,19,0.0,11.6,1,1,87,03:48 PM,04:18 AM,06:45 AM,06:14 PM,18,26,26,25,11,20,68,0.1,1010,30,10,197,8
2020-02-07,32,20,0.0,11.6,1,1,95,04:49 PM,05:17 AM,06:45 AM,06:15 PM,18,27,27,25,12,8,66,0.0,1013,32,10,180,8
2020-02-08,32,18,0.0,11.6,1,1,100,05:53 PM,06:14 AM,06:45 AM,06:15 PM,18,27,27,25,12,9,67,0.0,1015,32,10,163,8
2020-02-09,34,21,0.0,11.6,1,1,100,06:57 PM,07:08 AM,06:44 AM,06:16 PM,19,27,27,26,12,11,69,0.0,1014,34,10,168,8
2020-02-10,31,19,0.0,11.6,1,1,83,08:00 PM,07:59 AM,06:44 AM,06:16 PM,18,26,26,25,11,6,67,0.0,1013,31,10,152,8
2020-02-11,31,20,0.0,11.6,1,1,75,09:01 PM,08:46 AM,06:43 AM,06:17 PM,17,27,27,25,12,1,62,0.0,1012,31,10,223,8
2020-02-12,30,20,0.0,11.6,1,1,68,10:01 PM,09:32 AM,06:43 AM,06:17 PM,17,26,26,25,11,15,62,0.0,1011,30,10,230,8
2020-02-13,32,20,0.0,10.2,1,1,60,10:59 PM,10:16 AM,06:43 AM,06:17 PM,18,27,27,25,13,27,65,0.2,1012,32,10,277,9
2020-02-14,29,22,0.0,11.6,1,1,53,11:57 PM,11:01 AM,06:42 AM,06:18 PM,17,27,27,25,29,9,61,0.0,1015,29,10,25,23
2020-02-15,30,21,0.0,11.6,1,1,45,No moonrise,11:46 AM,06:42 AM,06:18 PM,17,27,27,25,29,5,60,0.0,1015,30,10,24,23
2020-02-16,33,21,0.0,11.6,1,1,38,12:55 AM,12:33 PM,06:41 AM,06:18 PM,16,28,28,27,19,5,59,0.0,1012,33,10,121,14
2020-02-17,33,20,0.0,11.6,1,1,30,01:53 AM,01:24 PM,06:41 AM,06:19 PM,17,27,27,26,15,6,61,0.0,1011,33,10,88,10
2020-02-18,35,19,0.0,11.6,1,1,22,02:50 AM,02:15 PM,06:40 AM,06:19 PM,17,28,28,27,14,5,61,0.0,1011,35,10,164,9
2020-02-19,34,21,0.0,11.6,1,1,15,03:44 AM,03:09 PM,06:40 AM,06:20 PM,18,29,29,27,20,2,63,0.0,1013,34,10,24,15
2020-02-20,34,23,0.0,11.6,1,1,7,04:36 AM,04:02 PM,06:39 AM,06:20 PM,19,29,29,28,19,5,61,0.0,1014,34,10,124,15
2020-02-21,28,20,0.0,11.6,1,1,0,05:24 AM,04:55 PM,06:39 AM,06:20 PM,17,27,27,25,35,21,61,0.1,1018,28,10,14,28
2020-02-22,28,21,0.0,11.6,1,1,0,06:08 AM,05:47 PM,06:38 AM,06:21 PM,16,26,26,25,34,11,60,0.0,1018,28,10,22,27
2020-02-23,32,20,0.0,11.6,1,1,0,06:49 AM,06:36 PM,06:37 AM,06:21 PM,17,27,27,26,19,4,59,0.0,1015,32,10,93,15
2020-02-24,29,20,0.0,11.6,1,1,0,07:27 AM,07:24 PM,06:37 AM,06:21 PM,17,25,25,24,15,14,68,0.0,1012,29,10,200,10
2020-02-25,28,20,0.0,10.2,1,1,8,08:03 AM,08:11 PM,06:36 AM,06:21 PM,19,26,26,24,12,51,76,1.7,1012,28,10,193,9
2020-02-26,33,20,0.0,11.6,1,1,15,08:37 AM,08:58 PM,06:36 AM,06:22 PM,18,27,27,26,18,26,65,1.1,1014,33,10,184,14
2020-02-27,24,19,0.0,11.6,1,1,23,09:12 AM,09:45 PM,06:35 AM,06:22 PM,13,24,24,22,44,6,57,0.0,1020,24,10,26,37
2020-02-28,26,19,0.0,11.6,1,1,30,09:48 AM,10:32 PM,06:34 AM,06:22 PM,13,23,23,22,43,2,58,0.0,1019,26,10,24,36
2020-02-29,27,19,0.0,11.6,1,1,38,10:25 AM,11:22 PM,06:34 AM,06:23 PM,13,24,24,23,40,0,56,0.0,1019,27,10,24,33
2020-03-01,31,17,0.0,11.6,1,1,44,11:05 AM,No moonset,06:33 AM,06:23 PM,14,24,24,24,15,1,57,0.0,1015,31,10,153,11
2020-03-02,31,20,0.0,11.6,1,1,51,11:49 AM,12:13 AM,06:32 AM,06:23 PM,16,27,27,26,9,4,59,0.0,1012,31,10,221,7
2020-03-03,30,21,0.0,11.6,1,1,58,12:37 PM,01:07 AM,06:32 AM,06:23 PM,19,27,27,26,10,8,67,0.0,1011,30,10,212,8
2020-03-04,30,21,0.0,11.6,1,1,65,01:31 PM,02:03 AM,06:31 AM,06:24 PM,19,27,27,26,10,15,69,0.0,1011,30,10,200,8
2020-03-05,29,19,0.0,11.6,1,1,73,02:29 PM,03:00 AM,06:30 AM,06:24 PM,16,26,26,25,26,9,60,0.0,1015,29,10,17,20
2020-03-06,27,18,0.0,11.6,1,1,80,03:31 PM,03:57 AM,06:30 AM,06:24 PM,14,25,25,23,41,5,56,0.0,1019,27,10,21,33
2020-03-07,28,20,0.0,11.6,1,1,87,04:35 PM,04:52 AM,06:29 AM,06:24 PM,15,25,25,24,37,5,58,0.0,1018,28,10,23,30
2020-03-08,29,20,0.0,11.6,1,1,95,05:39 PM,05:44 AM,06:28 AM,06:24 PM,15,25,25,25,39,5,56,0.0,1016,29,10,27,31
2020-03-09,32,20,0.0,11.6,1,1,100,06:41 PM,06:33 AM,06:28 AM,06:25 PM,16,27,27,26,26,9,57,0.0,1016,32,10,21,21
2020-03-10,31,22,0.0,11.6,1,1,100,07:44 PM,07:21 AM,06:27 AM,06:25 PM,17,27,27,26,31,4,58,0.0,1016,31,10,24,25
2020-03-11,32,20,0.0,11.6,1,1,84,08:44 PM,08:07 AM,06:26 AM,06:25 PM,16,27,27,26,29,2,57,0.0,1015,32,10,24,23
2020-03-12,32,20,0.0,11.6,1,1,76,09:46 PM,08:53 AM,06:25 AM,06:25 PM,17,27,27,26,14,7,63,0.0,1012,32,10,172,11
2020-03-13,31,21,0.0,11.6,1,1,69,10:46 PM,09:40 AM,06:25 AM,06:25 PM,19,28,28,26,11,12,66,0.0,1013,31,10,229,8
2020-03-14,32,21,0.0,11.6,1,1,62,11:46 PM,10:28 AM,06:24 AM,06:26 PM,19,29,29,27,10,22,63,0.0,1015,32,10,255,8
2020-03-15,33,22,0.0,11.6,1,1,55,No moonrise,11:19 AM,06:23 AM,06:26 PM,19,29,29,28,12,20,63,0.0,1015,33,10,121,9
2020-03-16,33,22,0.0,11.6,1,1,47,12:44 AM,12:11 PM,06:22 AM,06:26 PM,18,29,29,27,17,13,57,0.0,1015,33,10,98,13
