date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,29,23,0.0,11.6,1,1,11,04:44 AM,04:14 PM,06:39 AM,06:01 PM,19,28,28,26,14,41,66,3.9,1015,29,10,147,9
2020-01-23,29,23,0.0,11.6,1,1,3,05:39 AM,05:09 PM,06:39 AM,06:02 PM,20,28,28,25,14,36,74,2.6,1014,29,10,167,9
2020-01-24,29,22,0.0,11.6,1,1,0,06:30 AM,06:03 PM,06:39 AM,06:03 PM,20,28,28,25,13,27,74,0.3,1014,29,10,194,9
2020-01-25,29,23,0.0,10.2,1,1,0,07:18 AM,06:55 PM,06:39 AM,06:03 PM,21,28,28,26,12,35,76,2.8,1015,29,10,176,8
2020-01-26,29,23,0.0,11.6,1,1,4,08:02 AM,07:46 PM,06:39 AM,06:04 PM,20,28,28,26,13,17,73,0.0,1015,29,10,187,9
2020-01-27,30,22,0.0,11.6,1,1,11,08:42 AM,08:35 PM,06:39 AM,06:04 PM,20,28,28,26,20,9,74,0.0,1015,30,10,278,14
2020-01-28,29,23,0.0,11.6,1,1,18,09:20 AM,09:23 PM,06:39 AM,06:05 PM,21,28,28,26,16,20,75,0.0,1014,29,10,274,11
2020-01-29,30,23,0.0,11.6,1,1,26,09:56 AM,10:09 PM,06:38 AM,06:05 PM,21,28,28,26,14,6,74,0.0,1013,30,10,283,10
2020-01-30,30,23,0.0,11.6,1,1,33,10:31 AM,10:55 PM,06:38 AM,06:06 PM,21,28,28,26,13,26,71,0.0,1013,30,10,262,9
2020-01-31,30,24,0.0,11.6,1,1,37,11:07 AM,11:42 PM,06:38 AM,06:06 PM,21,29,29,27,13,11,70,0.0,1013,30,10,265,9
2020-02-01,30,24,0.0,8.7,1,1,49,11:43 AM,No moonset,06:38 AM,06:06 PM,22,29,29,27,12,41,75,1.5,1015,30,10,201,9
2020-02-02,30,24,0.0,11.6,1,1,57,12:22 PM,12:30 AM,06:38 AM,06:07 PM,21,29,29,27,12,16,71,0.1,1015,30,10,261,8
2020-02-03,31,24,0.0,11.6,1,1,64,01:05 PM,01:21 AM,06:37 AM,06:07 PM,20,29,29,27,12,13,66,0.0,1014,31,10,195,9
