date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,4,-4,0.0,5.0,1,1,11,06:54 AM,04:44 PM,08:38 AM,06:42 PM,2,-3,3,-3,42,92,94,16.2,1016,4,8,168,28
2020-01-23,9,0,0.0,8.3,1,1,3,07:49 AM,05:39 PM,08:37 AM,06:43 PM,1,0,4,0,30,72,86,0.4,1015,9,8,316,21
2020-01-24,6,-2,0.0,10.1,1,1,0,08:38 AM,06:37 PM,08:37 AM,06:44 PM,-3,-3,1,-3,25,38,74,0.0,1020,6,10,320,19
2020-01-25,9,-0,0.0,6.7,1,1,0,09:20 AM,07:37 PM,08:36 AM,06:45 PM,-0,1,3,1,17,58,76,0.0,1019,9,10,150,11
2020-01-26,13,3,0.0,10.1,1,1,4,09:56 AM,08:35 PM,08:35 AM,06:46 PM,2,6,7,6,10,22,74,0.0,1016,13,10,317,6
2020-01-27,11,4,0.0,10.1,1,1,11,10:28 AM,09:33 PM,08:35 AM,06:47 PM,2,5,7,5,18,23,74,0.0,1016,11,10,162,12
2020-01-28,4,0,0.0,5.1,1,1,18,10:57 AM,10:29 PM,08:34 AM,06:48 PM,-0,-3,2,-3,33,81,83,2.1,1018,4,7,45,26
2020-01-29,4,-2,0.4,5.1,1,1,26,11:24 AM,11:26 PM,08:33 AM,06:49 PM,-1,-3,1,-3,20,86,90,0.2,1022,4,9,11,15
2020-01-30,6,0,0.0,5.1,1,1,33,11:49 AM,No moonset,08:32 AM,06:50 PM,-1,0,2,0,11,74,82,0.0,1022,6,10,188,8
2020-01-31,8,-1,0.0,10.2,1,1,37,12:15 PM,12:21 AM,08:32 AM,06:52 PM,-2,-0,3,-0,20,20,72,0.0,1020,8,10,312,13
2020-02-01,14,0,0.0,10.2,1,1,49,12:43 PM,01:18 AM,08:31 AM,06:53 PM,-0,4,6,4,23,6,63,0.0,1020,14,10,264,13
2020-02-02,20,7,0.0,10.2,1,1,57,01:13 PM,02:15 AM,08:30 AM,06:54 PM,3,11,13,11,28,19,55,0.0,1011,20,10,251,15
2020-02-03,17,10,0.0,10.0,1,1,64,01:48 PM,03:15 AM,08:29 AM,06:55 PM,3,12,13,12,41,26,56,0.0,1003,17,10,245,25
