date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,2,0,5.7,4.9,1,1,11,07:04 AM,04:29 PM,08:45 AM,06:29 PM,1,-4,1,-4,29,100,98,18.6,1014,2,5,177,18
2020-01-23,0,-8,4.4,4.9,1,1,3,07:59 AM,05:24 PM,08:44 AM,06:31 PM,-1,-5,-1,-5,22,100,98,7.5,1015,0,3,340,15
2020-01-24,-3,-7,0.3,4.9,1,1,0,08:47 AM,06:23 PM,08:43 AM,06:32 PM,-6,-11,-5,-11,25,88,94,0.2,1020,-3,7,329,17
2020-01-25,-0,-9,0.0,8.3,1,1,0,09:27 AM,07:24 PM,08:42 AM,06:33 PM,-6,-8,-5,-8,12,62,94,0.0,1019,-0,4,219,7
2020-01-26,2,-4,0.0,8.3,1,1,4,10:02 AM,08:25 PM,08:42 AM,06:34 PM,-2,-4,-1,-4,17,41,93,0.0,1016,2,7,283,8
2020-01-27,0,-5,0.0,5.0,1,1,11,10:31 AM,09:25 PM,08:41 AM,06:36 PM,-3,-6,-2,-6,19,69,93,0.0,1020,0,10,349,12
2020-01-28,-1,-4,0.3,5.0,1,1,18,10:58 AM,10:24 PM,08:40 AM,06:37 PM,-4,-4,-3,-4,7,99,94,0.5,1022,-1,9,221,5
2020-01-29,-1,-7,2.0,5.0,1,1,26,11:23 AM,11:22 PM,08:39 AM,06:38 PM,-4,-5,-4,-5,5,98,96,2.4,1023,-1,5,189,3
2020-01-30,1,-1,0.0,5.0,1,1,33,11:46 AM,No moonset,08:38 AM,06:39 PM,-0,-4,-0,-4,21,98,97,0.0,1019,1,8,184,13
2020-01-31,1,-1,0.1,5.0,1,1,37,12:10 PM,12:20 AM,08:37 AM,06:41 PM,-1,-4,0,-4,19,98,96,0.1,1018,1,7,309,12
2020-02-01,7,-3,0.0,10.1,1,1,49,12:35 PM,01:19 AM,08:36 AM,06:42 PM,-0,-2,2,-2,28,24,88,0.0,1016,7,10,244,14
2020-02-02,9,2,0.0,10.1,1,1,57,01:04 PM,02:18 AM,08:35 AM,06:43 PM,1,2,5,2,26,4,76,0.0,1009,9,10,314,13
2020-02-03,-0,-3,0.9,5.1,1,1,64,01:36 PM,03:20 AM,08:34 AM,06:44 PM,-3,-7,-1,-7,35,82,87,1.1,1010,-0,9,28,25
2020-02-04,-3,-6,0.0,8.3,1,1,72,02:14 PM,04:23 AM,08:33 AM,06:46 PM,-11,-12,-5,-12,32,55,63,0.1,1022,-3,9,25,25
2020-02-05,-0,-7,0.3,6.7,1,1,79,03:01 PM,05:27 AM,08:32 AM,06:47 PM,-11,-7,-4,-7,11,62,60,0.3,1020,-0,9,73,8
2020-02-06,2,-7,0.0,10.0,1,1,87,03:57 PM,06:28 AM,08:31 AM,06:48 PM,-8,-7,-3,-7,16,26,66,0.0,1007,2,10,208,10
2020-02-07,-2,-6,0.2,10.0,1,1,95,05:02 PM,07:26 AM,08:30 AM,06:49 PM,-8,-9,-3,-9,23,53,72,0.5,1012,-2,9,333,18
2020-02-08,5,-8,0.0,10.0,1,1,100,06:14 PM,08:16 AM,08:29 AM,06:51 PM,-8,-7,-3,-7,22,27,69,0.0,1019,5,10,177,15
2020-02-09,2,-3,0.0,10.2,1,1,100,07:30 PM,09:01 AM,08:28 AM,06:52 PM,-3,-5,0,-5,34,34,78,0.0,1017,2,10,332,23
2020-02-10,6,-4,0.0,10.3,1,1,83,08:46 PM,09:39 AM,08:26 AM,06:53 PM,-6,-3,-0,-3,16,20,66,0.0,1023,6,10,237,11
2020-02-11,5,-2,0.0,10.3,1,1,75,10:02 PM,10:12 AM,08:25 AM,06:54 PM,-6,-3,1,-3,23,21,65,0.0,1024,5,10,280,14
2020-02-12,5,-3,0.0,6.8,1,1,68,11:16 PM,10:43 AM,08:24 AM,06:56 PM,-7,-3,2,-3,36,52,65,0.1,1015,5,9,265,26
2020-02-13,-10,-17,0.0,10.3,1,1,60,No moonrise,11:14 AM,08:23 AM,06:57 PM,-25,-21,-14,-21,22,11,34,0.1,1034,-10,10,351,19
2020-02-14,0,-12,0.0,10.4,1,1,53,12:29 AM,11:45 AM,08:21 AM,06:58 PM,-18,-14,-7,-14,34,14,42,0.0,1028,0,10,185,25
2020-02-15,7,-3,0.0,10.4,1,1,45,01:41 AM,12:18 PM,08:20 AM,06:59 PM,-5,-3,1,-3,22,6,64,0.0,1018,7,10,314,14
2020-02-16,9,-1,0.0,10.8,1,1,38,02:50 AM,12:55 PM,08:19 AM,07:01 PM,-2,1,4,1,22,46,68,0.0,1016,9,10,213,13
2020-02-17,9,-1,0.0,7.0,1,1,30,03:57 AM,01:37 PM,08:18 AM,07:02 PM,2,1,5,1,27,80,85,2.9,1012,9,9,269,18
2020-02-18,5,-3,0.0,10.9,1,1,22,04:59 AM,02:25 PM,08:16 AM,07:03 PM,-6,-3,0,-3,17,29,65,0.0,1028,5,10,348,12
2020-02-19,-3,-8,0.3,5.4,1,1,15,05:55 AM,03:18 PM,08:15 AM,07:04 PM,-8,-10,-5,-10,22,84,80,0.7,1037,-3,8,41,17
2020-02-20,-0,-10,0.3,10.9,1,1,7,06:44 AM,04:15 PM,08:13 AM,07:05 PM,-15,-10,-6,-10,15,10,48,0.2,1043,-0,10,283,10
2020-02-21,8,-5,0.0,11.0,1,1,0,07:27 AM,05:15 PM,08:12 AM,07:07 PM,-7,-5,0,-5,34,0,58,0.0,1031,8,10,216,22
2020-02-22,11,-2,0.0,11.0,1,1,0,08:02 AM,06:15 PM,08:11 AM,07:08 PM,-0,0,4,0,28,2,76,0.0,1019,11,10,213,17
2020-02-23,13,2,0.0,10.1,1,1,0,08:33 AM,07:16 PM,08:09 AM,07:09 PM,-1,7,8,7,13,35,61,0.0,1015,13,10,128,8
2020-02-24,7,1,0.0,8.6,1,1,0,09:01 AM,08:15 PM,08:08 AM,07:10 PM,-2,-1,3,-1,22,34,69,0.0,1012,7,10,36,15
2020-02-25,1,-2,0.0,5.5,1,1,8,09:26 AM,09:14 PM,08:06 AM,07:12 PM,-5,-7,-1,-7,33,100,74,0.2,1020,1,7,20,25
2020-02-26,1,-5,0.0,11.1,1,1,15,09:49 AM,10:11 PM,08:05 AM,07:13 PM,-11,-8,-2,-8,28,46,55,0.1,1028,1,9,344,21
2020-02-27,5,-3,0.0,11.1,1,1,23,10:13 AM,11:10 PM,08:03 AM,07:14 PM,-6,-3,0,-3,17,42,64,0.0,1021,5,10,329,11
2020-02-28,8,-1,0.0,8.6,1,1,30,10:37 AM,No moonset,08:02 AM,07:15 PM,-1,-1,3,-1,22,53,76,0.0,1022,8,10,329,14
2020-02-29,16,-1,0.0,10.1,1,1,38,11:04 AM,12:09 AM,08:00 AM,07:16 PM,1,4,7,4,31,20,69,0.0,1016,16,10,194,20
2020-03-01,12,5,0.0,10.1,1,1,44,11:34 AM,01:09 AM,07:59 AM,07:17 PM,2,6,9,6,30,21,62,0.0,1008,12,10,227,19
2020-03-02,9,0,0.0,11.6,1,1,51,12:08 PM,02:10 AM,07:57 AM,07:19 PM,-2,1,4,1,19,31,63,0.0,1012,9,10,274,13
2020-03-03,14,3,0.0,11.6,1,1,58,12:50 PM,03:12 AM,07:56 AM,07:20 PM,-1,5,8,5,31,13,53,0.0,1008,14,10,286,19
2020-03-04,15,4,0.0,11.6,1,1,65,01:40 PM,04:13 AM,07:54 AM,07:21 PM,-0,7,9,7,28,1,54,0.0,1014,15,10,267,17
2020-03-05,11,4,0.0,11.6,1,1,73,02:39 PM,05:11 AM,07:53 AM,07:22 PM,-3,4,8,4,42,4,49,0.0,1021,11,10,316,29
2020-03-06,11,-1,0.0,11.6,1,1,80,03:47 PM,06:03 AM,07:51 AM,07:23 PM,-4,2,5,2,21,3,57,0.0,1032,11,10,126,13
2020-03-07,18,6,0.0,11.6,1,1,87,05:01 PM,06:50 AM,07:49 AM,07:24 PM,-0,9,11,9,45,19,45,0.0,1020,18,10,195,28
2020-03-08,19,9,0.0,11.6,1,1,95,06:17 PM,07:31 AM,07:48 AM,07:25 PM,6,12,14,12,44,13,58,0.0,1011,19,10,194,29
2020-03-09,7,-4,0.0,5.9,1,1,100,07:35 PM,08:06 AM,07:46 AM,07:26 PM,4,3,6,3,25,86,82,16.4,1015,7,8,354,19
2020-03-10,10,-1,0.0,5.9,1,1,100,08:52 PM,08:39 AM,07:45 AM,07:28 PM,-1,2,4,2,15,47,69,0.2,1023,10,10,166,10
2020-03-11,18,3,0.0,11.6,1,1,84,10:08 PM,09:11 AM,07:43 AM,07:29 PM,4,8,10,8,20,12,68,0.2,1014,18,10,204,12
2020-03-12,13,6,0.0,10.2,1,1,76,11:24 PM,09:43 AM,07:41 AM,07:30 PM,4,9,11,9,37,49,63,3.3,1009,13,10,335,26
2020-03-13,8,2,0.0,7.4,1,1,69,No moonrise,10:16 AM,07:40 AM,07:31 PM,-5,3,5,3,13,58,52,0.8,1027,8,8,33,9
2020-03-14,2,0,19.0,6.0,1,1,62,12:37 AM,10:52 AM,07:38 AM,07:32 PM,0,-4,1,-4,26,100,96,22.3,1032,2,5,86,18
2020-03-15,2,-2,0.0,7.4,1,1,55,01:48 AM,11:34 AM,07:36 AM,07:33 PM,-2,-3,1,-3,15,79,84,0.1,1035,2,10,135,11
2020-03-16,6,2,0.0,6.0,1,1,47,02:53 AM,12:21 PM,07:35 AM,07:34 PM,2,2,4,2,12,90,89,0.0,1025,6,10,215,8
