date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,30,21,0.0,8.8,1,1,11,04:07 AM,04:18 PM,06:08 AM,06:04 PM,19,28,28,26,10,52,69,0.8,1012,30,10,67,6
2020-01-23,30,23,0.0,8.8,1,1,3,05:01 AM,05:12 PM,06:09 AM,06:04 PM,19,29,29,26,12,48,69,5.4,1011,30,10,178,7
2020-01-24,31,19,0.0,6.0,1,1,0,05:54 AM,06:05 PM,06:09 AM,06:04 PM,19,26,26,24,15,77,76,24.7,1012,31,8,170,8
2020-01-25,28,19,0.0,7.4,1,1,0,06:44 AM,06:55 PM,06:09 AM,06:05 PM,18,25,25,23,10,65,76,10.0,1013,28,9,134,6
2020-01-26,30,18,0.0,8.8,1,1,4,07:31 AM,07:43 PM,06:09 AM,06:05 PM,15,26,26,24,11,61,63,0.2,1013,30,10,87,6
2020-01-27,32,18,0.0,6.0,1,1,11,08:14 AM,08:28 PM,06:09 AM,06:05 PM,15,27,27,25,11,63,60,0.4,1013,32,10,86,6
2020-01-28,31,17,0.0,6.0,1,1,18,08:56 AM,09:11 PM,06:09 AM,06:05 PM,15,26,26,25,13,56,61,0.6,1012,31,10,86,7
2020-01-29,32,18,0.0,10.2,1,1,26,09:37 AM,09:54 PM,06:09 AM,06:06 PM,15,28,28,26,13,48,60,2.4,1012,32,10,72,8
2020-01-30,32,18,0.0,10.2,1,1,33,10:15 AM,10:36 PM,06:09 AM,06:06 PM,17,26,26,25,12,65,64,5.5,1012,32,8,71,7
2020-01-31,32,21,0.0,11.6,1,1,37,10:55 AM,11:19 PM,06:10 AM,06:06 PM,16,27,27,26,12,28,57,0.1,1013,32,10,85,7
2020-02-01,32,20,0.0,10.2,1,1,49,11:36 AM,No moonset,06:10 AM,06:06 PM,18,28,28,26,11,53,66,3.9,1013,32,10,91,7
2020-02-02,30,20,0.0,7.4,1,1,57,12:18 PM,12:03 AM,06:10 AM,06:07 PM,19,26,26,24,10,63,74,1.6,1013,30,10,82,6
2020-02-03,31,17,0.0,8.8,1,1,64,01:04 PM,12:50 AM,06:10 AM,06:07 PM,18,27,27,25,10,58,72,6.0,1014,31,10,77,6
2020-02-04,32,20,0.0,11.6,1,1,72,01:54 PM,01:40 AM,06:10 AM,06:07 PM,16,28,28,27,13,12,58,0.0,1014,32,10,90,8
2020-02-05,32,20,0.0,11.6,1,1,79,02:48 PM,02:33 AM,06:10 AM,06:07 PM,13,28,28,26,14,7,52,0.0,1013,32,10,85,9
2020-02-06,32,17,0.0,11.6,1,1,87,03:46 PM,03:31 AM,06:10 AM,06:07 PM,11,26,26,25,16,7,48,0.0,1013,32,10,83,9
2020-02-07,33,20,0.0,11.6,1,1,95,04:46 PM,04:29 AM,06:10 AM,06:08 PM,12,26,26,26,14,19,47,0.0,1013,33,10,84,8
2020-02-08,31,20,0.0,10.2,1,1,100,05:48 PM,05:29 AM,06:10 AM,06:08 PM,15,28,28,26,11,51,53,0.0,1013,31,10,70,7
2020-02-09,31,21,0.0,11.6,1,1,100,06:47 PM,06:27 AM,06:10 AM,06:08 PM,14,27,27,26,12,42,53,0.0,1013,31,10,64,8
2020-02-10,33,22,0.0,11.6,1,1,83,07:45 PM,07:23 AM,06:10 AM,06:08 PM,14,28,28,27,12,27,47,0.0,1013,33,10,75,8
2020-02-11,33,23,0.0,11.6,1,1,75,08:40 PM,08:16 AM,06:09 AM,06:08 PM,13,29,29,28,10,21,44,0.0,1013,33,10,88,7
2020-02-12,34,23,0.0,11.6,1,1,68,09:34 PM,09:07 AM,06:09 AM,06:08 PM,14,30,30,29,9,29,45,0.0,1012,34,10,93,7
2020-02-13,33,22,0.0,11.6,1,1,60,10:27 PM,09:57 AM,06:09 AM,06:08 PM,15,30,30,28,9,41,48,0.1,1011,33,10,87,7
2020-02-14,31,20,0.0,6.0,1,1,53,11:21 PM,10:46 AM,06:09 AM,06:08 PM,15,28,28,26,11,70,56,1.1,1012,31,10,76,7
2020-02-15,32,19,0.0,6.0,1,1,45,No moonrise,11:37 AM,06:09 AM,06:08 PM,14,27,27,26,9,75,54,1.3,1012,32,9,78,6
2020-02-16,34,18,0.0,11.6,1,1,38,12:14 AM,12:28 PM,06:09 AM,06:08 PM,13,28,28,27,12,41,48,0.3,1011,34,10,90,8
