date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,-3,-10,0.0,8.7,1,1,11,06:40 AM,03:41 PM,08:21 AM,05:48 PM,-8,-13,-6,-13,30,31,87,0.0,1028,-3,10,179,18
2020-01-23,-0,-7,0.0,8.7,1,1,3,07:36 AM,04:35 PM,08:20 AM,05:49 PM,-6,-8,-4,-8,20,36,83,0.0,1027,-0,10,176,11
2020-01-24,1,-6,0.0,8.7,1,1,0,08:23 AM,05:36 PM,08:20 AM,05:51 PM,-5,-3,-2,-3,9,52,79,0.0,1029,1,10,231,5
2020-01-25,2,-7,0.0,5.2,1,1,0,09:02 AM,06:38 PM,08:19 AM,05:52 PM,-1,-4,-1,-4,18,69,91,7.0,1020,2,9,125,10
2020-01-26,2,0,1.0,3.5,1,1,4,09:35 AM,07:41 PM,08:18 AM,05:53 PM,-0,-2,1,-2,14,97,95,2.4,1004,2,5,181,8
2020-01-27,1,-6,4.1,3.5,1,1,11,10:03 AM,08:43 PM,08:17 AM,05:55 PM,-2,-4,-0,-4,15,97,92,4.7,1002,1,2,260,9
2020-01-28,-3,-10,3.0,3.5,1,1,18,10:28 AM,09:44 PM,08:16 AM,05:56 PM,-5,-9,-4,-9,17,93,90,3.4,1010,-3,4,126,12
2020-01-29,-8,-14,0.9,5.3,1,1,26,10:50 AM,10:45 PM,08:15 AM,05:57 PM,-10,-14,-8,-14,18,58,87,1.3,1020,-8,8,9,13
2020-01-30,-6,-12,0.0,5.3,1,1,33,11:12 AM,11:45 PM,08:14 AM,05:59 PM,-11,-12,-9,-12,8,52,84,0.0,1027,-6,10,315,5
2020-01-31,-1,-8,0.0,9.9,1,1,37,11:34 AM,No moonset,08:13 AM,06:00 PM,-7,-8,-5,-8,15,48,79,0.0,1025,-1,10,186,9
2020-02-01,-2,-6,0.6,4.9,1,1,49,11:57 AM,12:46 AM,08:12 AM,06:01 PM,-4,-6,-3,-6,10,80,93,0.7,1014,-2,7,339,6
2020-02-02,-1,-7,0.0,5.0,1,1,57,12:22 PM,01:48 AM,08:11 AM,06:03 PM,-5,-6,-4,-6,8,80,89,0.1,1000,-1,10,196,5
2020-02-03,2,-5,0.9,6.6,1,1,64,12:52 PM,02:52 AM,08:09 AM,06:04 PM,-3,-4,-1,-4,13,77,87,1.0,1006,2,7,232,8
2020-02-04,0,-2,1.6,5.0,1,1,72,01:29 PM,03:57 AM,08:08 AM,06:06 PM,-2,-2,-1,-2,8,74,92,2.5,1010,0,6,192,5
2020-02-05,-6,-11,0.1,8.3,1,1,79,02:13 PM,05:02 AM,08:07 AM,06:07 PM,-9,-11,-6,-11,15,71,78,0.2,1019,-6,9,120,11
2020-02-06,-3,-7,1.4,5.0,1,1,87,03:08 PM,06:04 AM,08:06 AM,06:08 PM,-5,-7,-4,-7,8,100,93,5.0,1007,-3,5,47,6
2020-02-07,-4,-14,0.0,5.0,1,1,95,04:13 PM,07:02 AM,08:05 AM,06:10 PM,-6,-10,-6,-10,28,100,93,27.3,989,-4,3,337,21
2020-02-08,-13,-18,0.5,10.1,1,1,100,05:27 PM,07:52 AM,08:03 AM,06:11 PM,-18,-21,-15,-21,16,33,82,0.7,1020,-13,9,205,10
2020-02-09,-4,-20,0.0,10.0,1,1,100,06:45 PM,08:34 AM,08:02 AM,06:13 PM,-13,-17,-11,-17,20,45,87,0.0,1032,-4,10,179,12
