date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,-2,-10,0.0,8.7,1,1,11,05:31 AM,03:18 PM,07:37 AM,05:37 PM,-10,-9,-6,-9,11,36,82,0.0,1026,-2,10,191,6
2020-01-23,-3,-10,0.2,5.4,1,1,3,06:28 AM,04:11 PM,07:37 AM,05:38 PM,-9,-8,-7,-8,5,51,88,0.3,1018,-3,9,290,4
2020-01-24,-2,-8,1.5,3.8,1,1,0,07:19 AM,05:08 PM,07:36 AM,05:39 PM,-6,-7,-5,-7,8,72,89,1.8,1021,-2,5,206,5
2020-01-25,-4,-12,0.2,8.7,1,1,0,08:03 AM,06:07 PM,07:36 AM,05:40 PM,-12,-11,-8,-11,10,24,77,0.2,1031,-4,9,224,6
2020-01-26,-3,-12,0.0,8.7,1,1,4,08:41 AM,07:07 PM,07:35 AM,05:41 PM,-12,-10,-8,-10,7,8,75,0.0,1029,-3,10,273,4
2020-01-27,-1,-11,0.0,8.7,1,1,11,09:14 AM,08:06 PM,07:34 AM,05:42 PM,-11,-7,-6,-7,4,3,74,0.0,1030,-1,10,234,2
2020-01-28,-2,-11,0.0,7.1,1,1,18,09:44 AM,09:03 PM,07:34 AM,05:43 PM,-11,-7,-6,-7,3,19,74,0.0,1026,-2,10,271,2
2020-01-29,-0,-8,0.0,3.8,1,1,26,10:10 AM,10:00 PM,07:33 AM,05:44 PM,-10,-6,-5,-6,6,66,69,0.0,1021,-0,10,231,3
2020-01-30,-1,-8,0.0,8.7,1,1,33,10:36 AM,10:56 PM,07:32 AM,05:45 PM,-8,-6,-5,-6,5,27,82,0.0,1022,-1,10,244,3
2020-01-31,1,-7,0.0,8.7,1,1,37,11:01 AM,11:53 PM,07:31 AM,05:47 PM,-6,-4,-3,-4,9,21,83,0.0,1016,1,10,139,5
2020-02-01,-0,-5,1.8,3.8,1,1,49,11:28 AM,No moonset,07:30 AM,05:48 PM,-6,-6,-2,-6,18,77,78,2.4,1012,-0,8,232,11
2020-02-02,-3,-9,0.4,5.4,1,1,57,11:56 AM,12:50 AM,07:30 AM,05:49 PM,-8,-9,-5,-9,13,68,89,0.6,1024,-3,8,257,8
2020-02-03,-3,-9,0.0,8.7,1,1,64,12:28 PM,01:49 AM,07:29 AM,05:50 PM,-8,-8,-6,-8,6,30,86,0.0,1025,-3,10,296,4
2020-02-04,-1,-10,0.0,7.1,1,1,72,01:06 PM,02:50 AM,07:28 AM,05:51 PM,-7,-7,-5,-7,6,48,88,0.1,1017,-1,10,223,4
2020-02-05,1,-7,0.0,3.8,1,1,79,01:50 PM,03:53 AM,07:27 AM,05:52 PM,-5,-4,-3,-4,4,52,89,0.1,1020,1,8,192,2
2020-02-06,1,-5,0.0,5.5,1,1,87,02:43 PM,04:54 AM,07:26 AM,05:53 PM,-4,-3,-2,-3,4,45,90,0.0,1022,1,8,253,3
2020-02-07,5,-4,0.0,7.1,1,1,95,03:45 PM,05:54 AM,07:25 AM,05:54 PM,-3,-2,0,-2,23,32,81,0.1,1013,5,9,197,12
2020-02-08,3,-4,0.9,7.1,1,1,100,04:53 PM,06:48 AM,07:24 AM,05:55 PM,-1,-4,1,-4,44,61,80,1.4,1005,3,8,218,27
2020-02-09,-4,-9,0.4,8.7,1,1,100,06:06 PM,07:36 AM,07:23 AM,05:57 PM,-9,-11,-5,-11,31,59,70,1.3,1015,-4,8,265,24
2020-02-10,-8,-12,0.1,5.5,1,1,83,07:21 PM,08:18 AM,07:22 AM,05:58 PM,-13,-18,-10,-18,27,62,81,1.1,1025,-8,7,70,22
2020-02-11,-8,-15,0.0,8.7,1,1,75,08:34 PM,08:55 AM,07:21 AM,05:59 PM,-15,-16,-11,-16,12,34,79,0.2,1026,-8,10,211,8
2020-02-12,-6,-16,0.0,10.8,1,1,68,09:47 PM,09:30 AM,07:20 AM,06:00 PM,-14,-14,-11,-14,12,30,78,0.1,1026,-6,10,278,9
2020-02-13,-3,-13,0.3,7.0,1,1,60,10:58 PM,10:02 AM,07:18 AM,06:01 PM,-10,-11,-9,-11,8,67,88,0.4,1025,-3,8,168,5
2020-02-14,-2,-9,2.1,8.5,1,1,53,No moonrise,10:35 AM,07:17 AM,06:02 PM,-10,-8,-5,-8,12,54,75,2.5,1030,-2,7,256,8
2020-02-15,-2,-13,0.0,7.0,1,1,45,12:07 AM,11:10 AM,07:16 AM,06:03 PM,-16,-10,-7,-10,11,64,55,0.0,1033,-2,10,69,6
2020-02-16,1,-7,0.0,8.5,1,1,38,01:16 AM,11:47 AM,07:15 AM,06:04 PM,-7,-5,-3,-5,9,83,78,0.0,1027,1,10,42,5
2020-02-17,-0,-6,1.9,7.0,1,1,30,02:22 AM,12:28 PM,07:14 AM,06:05 PM,-4,-8,-2,-8,26,79,88,2.2,1030,-0,8,67,20
2020-02-18,1,-9,0.0,8.5,1,1,22,03:26 AM,01:15 PM,07:12 AM,06:06 PM,-5,-6,-4,-6,11,51,90,0.0,1032,1,8,65,6
2020-02-19,2,-4,0.3,7.0,1,1,15,04:23 AM,02:06 PM,07:11 AM,06:07 PM,-2,-2,-1,-2,6,71,95,0.3,1024,2,7,120,4
2020-02-20,4,-4,0.0,5.5,1,1,7,05:16 AM,03:01 PM,07:10 AM,06:08 PM,1,-1,1,-1,11,94,99,2.5,1014,4,7,245,6
2020-02-21,3,-1,0.0,7.0,1,1,0,06:01 AM,03:59 PM,07:09 AM,06:09 PM,-0,0,1,0,6,82,95,0.0,1018,3,7,174,4
2020-02-22,5,-1,0.0,11.0,1,1,0,06:40 AM,04:58 PM,07:07 AM,06:10 PM,-1,1,1,1,5,37,85,0.0,1021,5,10,25,3
2020-02-23,3,-2,0.0,5.5,1,1,0,07:15 AM,05:57 PM,07:06 AM,06:11 PM,-0,1,1,1,4,70,93,0.2,1023,3,6,138,2
2020-02-24,3,-1,0.0,8.6,1,1,0,07:45 AM,06:55 PM,07:05 AM,06:12 PM,-0,1,1,1,4,55,90,0.0,1019,3,8,214,2
2020-02-25,7,-1,0.0,8.6,1,1,8,08:12 AM,07:52 PM,07:03 AM,06:13 PM,0,2,3,2,4,59,86,0.3,1010,7,9,172,2
2020-02-26,2,-5,0.4,11.1,1,1,15,08:38 AM,08:48 PM,07:02 AM,06:14 PM,-6,-5,-1,-5,16,22,68,0.5,1021,2,9,68,13
2020-02-27,4,-5,0.0,11.2,1,1,23,09:04 AM,09:45 PM,07:01 AM,06:16 PM,-5,-1,-0,-1,5,4,70,0.0,1023,4,10,302,4
2020-02-28,4,-3,0.0,11.6,1,1,30,09:30 AM,10:41 PM,06:59 AM,06:17 PM,-5,-0,0,-0,5,25,67,0.0,1017,4,10,111,3
2020-02-29,5,-1,0.0,10.2,1,1,38,09:57 AM,11:39 PM,06:58 AM,06:18 PM,-3,0,2,0,9,39,71,0.1,1014,5,10,86,5
2020-03-01,7,-1,0.0,10.2,1,1,44,10:27 AM,No moonset,06:56 AM,06:19 PM,-1,1,3,1,12,30,78,0.2,1012,7,10,63,8
