date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,12,7,0.0,5.1,1,1,11,06:23 AM,04:32 PM,08:23 AM,06:40 PM,2,8,9,8,11,73,64,2.8,1015,12,9,238,7
2020-01-23,14,7,0.0,10.0,1,1,3,07:20 AM,05:26 PM,08:23 AM,06:41 PM,2,10,10,10,8,52,59,0.3,1018,14,10,146,5
2020-01-24,15,8,0.0,10.2,1,1,0,08:10 AM,06:22 PM,08:22 AM,06:42 PM,3,10,11,10,10,15,58,0.0,1020,15,10,36,6
2020-01-25,14,8,0.0,6.7,1,1,0,08:54 AM,07:21 PM,08:22 AM,06:43 PM,4,9,10,9,22,44,64,1.3,1020,14,10,238,15
2020-01-26,13,7,0.0,10.2,1,1,4,09:33 AM,08:18 PM,08:21 AM,06:44 PM,5,9,10,9,14,24,72,0.0,1025,13,10,227,9
2020-01-27,15,8,0.0,10.2,1,1,11,10:07 AM,09:15 PM,08:21 AM,06:45 PM,5,11,11,11,6,3,70,0.0,1026,15,10,281,4
2020-01-28,18,8,0.0,10.3,1,1,18,10:38 AM,10:10 PM,08:20 AM,06:46 PM,3,13,13,13,7,2,54,0.0,1026,18,10,208,4
2020-01-29,20,10,0.0,10.3,1,1,26,11:07 AM,11:05 PM,08:20 AM,06:47 PM,2,15,15,15,7,17,46,0.0,1025,20,10,283,4
2020-01-30,20,11,0.0,10.3,1,1,33,11:35 AM,11:59 PM,08:19 AM,06:48 PM,3,15,15,15,7,43,47,0.0,1026,20,10,290,5
2020-01-31,19,11,0.0,10.3,1,1,37,12:02 PM,No moonset,08:18 AM,06:49 PM,4,15,15,15,8,29,51,0.0,1026,19,10,292,5
2020-02-01,19,11,0.0,10.3,1,1,49,12:31 PM,12:53 AM,08:18 AM,06:50 PM,5,15,15,15,8,19,53,0.0,1026,19,10,159,5
2020-02-02,24,13,0.0,10.3,1,1,57,01:02 PM,01:49 AM,08:17 AM,06:51 PM,4,18,18,18,8,4,45,0.0,1027,24,10,64,5
2020-02-03,24,14,0.0,10.4,1,1,64,01:37 PM,02:46 AM,08:16 AM,06:52 PM,4,18,18,18,7,2,41,0.0,1028,24,10,209,4
2020-02-04,23,15,0.0,10.4,1,1,72,02:17 PM,03:46 AM,08:15 AM,06:53 PM,7,19,19,19,5,0,50,0.0,1027,23,10,199,3
2020-02-05,24,15,0.0,10.4,1,1,79,03:04 PM,04:46 AM,08:15 AM,06:54 PM,8,19,19,19,5,0,51,0.0,1023,24,10,130,3
2020-02-06,23,13,0.0,10.4,1,1,87,03:58 PM,05:47 AM,08:14 AM,06:55 PM,7,18,18,18,7,3,52,0.0,1021,23,10,148,5
