date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,2,-6,0.0,8.7,1,1,11,06:23 AM,03:40 PM,08:07 AM,05:45 PM,-7,-5,-2,-5,9,22,73,0.0,1030,2,10,231,6
2020-01-23,4,-3,0.0,5.3,1,1,3,07:19 AM,04:34 PM,08:06 AM,05:46 PM,-4,-2,1,-2,16,55,71,0.0,1027,4,10,230,9
2020-01-24,5,-1,0.0,8.7,1,1,0,08:07 AM,05:34 PM,08:05 AM,05:48 PM,-1,-0,2,-0,12,44,83,0.0,1029,5,10,243,8
2020-01-25,6,-0,0.0,3.5,1,1,0,08:47 AM,06:35 PM,08:05 AM,05:49 PM,4,1,4,1,30,71,93,10.0,1021,6,8,100,17
2020-01-26,7,3,0.0,8.7,1,1,4,09:21 AM,07:37 PM,08:04 AM,05:50 PM,2,2,6,2,23,31,78,11.2,1005,7,8,261,15
2020-01-27,6,1,0.0,7.0,1,1,11,09:51 AM,08:37 PM,08:03 AM,05:51 PM,-2,-1,3,-1,21,42,72,0.0,1003,6,10,263,15
2020-01-28,3,-0,0.0,5.3,1,1,18,10:16 AM,09:38 PM,08:02 AM,05:53 PM,-5,-2,1,-2,18,45,65,0.0,1007,3,10,336,13
2020-01-29,4,-1,0.0,8.7,1,1,26,10:40 AM,10:36 PM,08:01 AM,05:54 PM,-8,-3,1,-3,15,18,52,0.0,1015,4,10,324,12
2020-01-30,2,-1,0.0,8.7,1,1,33,11:03 AM,11:35 PM,08:00 AM,05:55 PM,-11,-3,-0,-3,9,30,45,0.0,1025,2,10,103,7
2020-01-31,5,-1,0.0,8.7,1,1,37,11:27 AM,No moonset,07:59 AM,05:57 PM,-6,-2,1,-2,16,48,61,0.0,1026,5,10,230,11
2020-02-01,6,1,0.0,3.8,1,1,49,11:51 AM,12:34 AM,07:58 AM,05:58 PM,1,2,3,2,7,95,89,1.5,1013,6,9,170,5
2020-02-02,4,-0,0.0,5.4,1,1,57,12:18 PM,01:36 AM,07:57 AM,05:59 PM,-3,-1,2,-1,11,67,73,0.0,999,4,10,286,8
2020-02-03,7,0,0.0,10.0,1,1,64,12:49 PM,02:37 AM,07:56 AM,06:00 PM,-2,-0,3,-0,19,34,69,0.0,1006,7,10,269,13
2020-02-04,8,2,0.0,10.5,1,1,72,01:27 PM,03:42 AM,07:55 AM,06:02 PM,1,4,5,4,9,52,78,0.0,1009,8,10,209,5
2020-02-05,2,-1,0.7,10.0,1,1,79,02:12 PM,04:45 AM,07:54 AM,06:03 PM,-7,-1,2,-1,16,54,51,1.4,1016,2,9,335,12
2020-02-06,4,-3,0.6,5.3,1,1,87,03:07 PM,05:48 AM,07:53 AM,06:04 PM,1,-1,2,-1,15,94,91,7.5,1007,4,8,98,10
2020-02-07,11,2,0.2,5.3,1,1,95,04:12 PM,06:45 AM,07:52 AM,06:06 PM,1,4,6,4,32,82,82,4.9,987,11,7,166,22
2020-02-08,0,-5,0.0,10.0,1,1,100,05:24 PM,07:36 AM,07:51 AM,06:07 PM,-13,-9,-3,-9,30,31,46,0.0,1017,0,10,281,23
2020-02-09,1,-5,0.0,6.9,1,1,100,06:40 PM,08:19 AM,07:49 AM,06:08 PM,-10,-4,-2,-4,12,62,54,0.0,1033,1,10,114,9
2020-02-10,6,3,0.0,5.3,1,1,83,07:58 PM,08:57 AM,07:48 AM,06:09 PM,2,0,4,0,30,94,87,2.0,1021,6,8,223,18
2020-02-11,3,-0,0.0,5.3,1,1,75,09:15 PM,09:30 AM,07:47 AM,06:11 PM,2,1,3,1,10,86,93,7.9,1014,3,7,217,6
2020-02-12,5,0,0.0,8.5,1,1,68,10:30 PM,10:00 AM,07:46 AM,06:12 PM,-5,-1,3,-1,23,51,57,0.0,1017,5,10,271,16
2020-02-13,5,1,0.1,5.3,1,1,60,11:44 PM,10:29 AM,07:44 AM,06:13 PM,2,0,3,0,14,90,93,14.2,1006,5,8,260,10
2020-02-14,-4,-10,0.0,10.7,1,1,53,No moonrise,11:00 AM,07:43 AM,06:14 PM,-14,-11,-5,-11,25,2,48,0.0,1022,-4,10,328,20
2020-02-15,-1,-10,0.0,10.7,1,1,45,12:56 AM,11:32 AM,07:42 AM,06:16 PM,-17,-10,-5,-10,16,29,40,0.0,1033,-1,10,226,13
2020-02-16,5,-2,0.0,10.0,1,1,38,02:07 AM,12:08 PM,07:40 AM,06:17 PM,-6,-3,1,-3,22,44,61,0.0,1020,5,10,229,15
2020-02-17,5,-0,0.0,10.8,1,1,30,03:15 AM,12:49 PM,07:39 AM,06:18 PM,-5,-1,2,-1,16,12,60,0.0,1024,5,10,308,12
2020-02-18,3,-5,0.0,5.4,1,1,22,04:18 AM,01:36 PM,07:37 AM,06:20 PM,-1,-2,1,-2,18,98,80,11.1,1025,3,9,138,12
2020-02-19,4,-5,0.0,10.9,1,1,15,05:15 AM,02:28 PM,07:36 AM,06:21 PM,-6,-3,1,-3,26,23,59,3.0,1020,4,10,296,19
2020-02-20,-1,-4,0.0,8.5,1,1,7,06:04 AM,03:26 PM,07:35 AM,06:22 PM,-14,-8,-3,-8,21,39,42,0.0,1029,-1,10,297,17
2020-02-21,3,-7,0.0,10.9,1,1,0,06:46 AM,04:25 PM,07:33 AM,06:23 PM,-16,-6,-3,-6,13,1,36,0.0,1029,3,10,285,11
2020-02-22,5,-2,0.0,10.9,1,1,0,07:22 AM,05:27 PM,07:32 AM,06:25 PM,-10,-3,1,-3,23,10,46,0.0,1021,5,10,266,16
2020-02-23,10,1,0.0,11.0,1,1,0,07:53 AM,06:28 PM,07:30 AM,06:26 PM,-3,2,5,2,17,6,60,0.0,1020,10,10,246,12
