date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,-1,-8,0.2,5.2,1,1,11,06:45 AM,03:38 PM,08:26 AM,05:46 PM,-6,-10,-5,-10,24,68,90,0.6,1026,-1,9,215,14
2020-01-23,-1,-6,0.0,5.2,1,1,3,07:41 AM,04:33 PM,08:25 AM,05:48 PM,-5,-7,-4,-7,18,77,90,0.0,1027,-1,10,229,10
2020-01-24,-1,-4,0.0,3.5,1,1,0,08:28 AM,05:34 PM,08:24 AM,05:49 PM,-4,-7,-3,-7,18,80,94,0.0,1029,-1,9,44,11
2020-01-25,-0,-7,0.0,5.2,1,1,0,09:07 AM,06:36 PM,08:23 AM,05:50 PM,-3,-8,-3,-8,23,77,97,5.4,1020,-0,5,46,13
2020-01-26,1,-7,1.8,3.5,1,1,4,09:40 AM,07:40 PM,08:22 AM,05:52 PM,1,-4,0,-4,25,100,99,11.6,1003,1,6,236,15
2020-01-27,1,-2,2.1,3.5,1,1,11,10:07 AM,08:43 PM,08:21 AM,05:53 PM,-1,-4,-0,-4,20,99,97,1.2,1002,1,5,266,13
2020-01-28,-4,-9,0.0,3.5,1,1,18,10:30 AM,09:45 PM,08:20 AM,05:55 PM,-7,-9,-6,-9,11,83,90,0.2,1011,-4,9,185,6
2020-01-29,-6,-13,0.0,8.7,1,1,26,10:52 AM,10:46 PM,08:19 AM,05:56 PM,-12,-11,-8,-11,8,2,85,0.0,1022,-6,10,306,5
2020-01-30,-8,-17,0.0,8.7,1,1,33,11:13 AM,11:47 PM,08:18 AM,05:58 PM,-14,-14,-13,-14,5,39,87,0.0,1028,-8,10,129,3
2020-01-31,-5,-15,0.1,8.7,1,1,37,11:35 AM,No moonset,08:17 AM,05:59 PM,-11,-10,-10,-10,3,48,90,0.1,1026,-5,9,131,2
2020-02-01,-3,-10,1.2,9.8,1,1,49,11:57 AM,12:48 AM,08:16 AM,06:00 PM,-7,-8,-6,-8,5,67,95,1.3,1014,-3,5,234,3
2020-02-02,-4,-11,0.1,4.9,1,1,57,12:21 PM,01:52 AM,08:15 AM,06:02 PM,-8,-9,-7,-9,6,94,96,0.8,1001,-4,5,120,3
2020-02-03,1,-5,0.3,5.0,1,1,64,12:51 PM,02:56 AM,08:13 AM,06:03 PM,-3,-7,-2,-7,23,92,92,0.5,1005,1,7,254,14
2020-02-04,-1,-6,0.0,8.3,1,1,72,01:27 PM,04:02 AM,08:12 AM,06:05 PM,-4,-5,-3,-5,12,68,92,0.2,1010,-1,9,203,7
2020-02-05,-9,-15,0.0,6.6,1,1,79,02:11 PM,05:07 AM,08:11 AM,06:06 PM,-12,-14,-10,-14,13,54,86,0.0,1020,-9,10,156,8
2020-02-06,-6,-11,6.0,5.0,1,1,87,03:06 PM,06:10 AM,08:10 AM,06:08 PM,-8,-12,-8,-12,18,94,95,9.8,1008,-6,2,33,12
2020-02-07,-6,-10,22.4,5.0,1,1,95,04:11 PM,07:07 AM,08:08 AM,06:09 PM,-8,-15,-7,-15,36,99,94,42.8,992,-6,2,135,25
2020-02-08,-16,-22,0.9,8.3,1,1,100,05:25 PM,07:57 AM,08:07 AM,06:10 PM,-20,-27,-18,-27,26,48,89,1.2,1020,-16,8,256,16
2020-02-09,-10,-24,0.0,10.0,1,1,100,06:44 PM,08:38 AM,08:06 AM,06:12 PM,-17,-20,-17,-20,9,60,91,0.0,1032,-10,6,141,5
2020-02-10,-0,-5,8.2,5.0,1,1,83,08:04 PM,09:13 AM,08:04 AM,06:13 PM,-3,-5,-2,-5,14,93,96,10.5,1017,-0,4,272,8
2020-02-11,-1,-3,0.0,5.1,1,1,75,09:24 PM,09:43 AM,08:03 AM,06:15 PM,-3,-5,-2,-5,11,100,95,0.5,1014,-1,8,205,7
2020-02-12,-1,-7,0.0,10.0,1,1,68,10:41 PM,10:11 AM,08:01 AM,06:16 PM,-5,-9,-4,-9,29,60,88,0.2,1015,-1,10,233,17
2020-02-13,-1,-15,1.6,5.1,1,1,60,11:58 PM,10:38 AM,08:00 AM,06:18 PM,-7,-11,-7,-11,15,92,94,3.8,1009,-1,4,133,10
2020-02-14,-18,-25,0.0,8.5,1,1,53,No moonrise,11:05 AM,07:58 AM,06:19 PM,-22,-28,-21,-28,16,54,87,0.2,1030,-18,9,244,9
2020-02-15,-9,-24,0.0,8.5,1,1,45,01:13 AM,11:36 AM,07:57 AM,06:21 PM,-16,-21,-15,-21,21,74,90,0.0,1029,-9,9,179,12
2020-02-16,0,-7,0.9,5.3,1,1,38,02:26 AM,12:09 PM,07:55 AM,06:22 PM,-4,-8,-2,-8,30,95,90,1.4,1015,0,6,234,18
2020-02-17,-9,-15,0.1,10.7,1,1,30,03:36 AM,12:48 PM,07:54 AM,06:23 PM,-12,-14,-11,-14,11,42,88,0.9,1027,-9,8,169,7
2020-02-18,1,-17,3.2,5.4,1,1,22,04:40 AM,01:34 PM,07:52 AM,06:25 PM,-8,-13,-8,-13,31,99,91,9.4,1020,1,6,138,18
2020-02-19,-5,-15,0.0,5.4,1,1,15,05:38 AM,02:26 PM,07:51 AM,06:26 PM,-10,-15,-8,-15,32,76,83,0.5,1021,-5,8,279,21
2020-02-20,-12,-21,0.0,5.4,1,1,7,06:26 AM,03:25 PM,07:49 AM,06:28 PM,-18,-21,-17,-21,14,85,88,0.3,1032,-12,9,268,8
2020-02-21,-4,-21,0.0,5.4,1,1,0,07:07 AM,04:26 PM,07:47 AM,06:29 PM,-13,-18,-12,-18,26,74,89,0.3,1027,-4,8,226,15
2020-02-22,0,-7,0.0,5.4,1,1,0,07:41 AM,05:30 PM,07:46 AM,06:31 PM,-5,-9,-3,-9,33,86,86,0.2,1018,0,10,244,20
2020-02-23,1,-6,0.0,5.4,1,1,0,08:09 AM,06:32 PM,07:44 AM,06:32 PM,-2,-5,-2,-5,18,86,95,0.0,1017,1,6,207,10
2020-02-24,2,-3,0.2,5.5,1,1,0,08:34 AM,07:35 PM,07:42 AM,06:33 PM,-1,-3,0,-3,19,69,95,0.0,1014,2,4,221,10
2020-02-25,0,-4,0.0,7.0,1,1,8,08:56 AM,08:36 PM,07:41 AM,06:35 PM,-2,-4,-1,-4,11,75,94,0.0,1016,0,7,34,7
2020-02-26,-2,-9,0.1,5.5,1,1,15,09:17 AM,09:38 PM,07:39 AM,06:36 PM,-4,-9,-4,-9,23,94,92,3.3,1016,-2,9,43,15
2020-02-27,3,-7,12.1,5.5,1,1,23,09:38 AM,10:39 PM,07:37 AM,06:38 PM,-1,-7,-1,-7,38,99,95,42.3,992,3,3,116,24
2020-02-28,-8,-11,0.0,5.5,1,1,30,10:00 AM,11:41 PM,07:36 AM,06:39 PM,-12,-17,-10,-17,30,97,83,0.8,1002,-8,8,261,21
2020-02-29,-8,-13,0.0,5.5,1,1,38,10:23 AM,No moonset,07:34 AM,06:40 PM,-12,-17,-11,-17,23,95,90,0.4,1009,-8,9,251,16
2020-03-01,-7,-15,0.0,11.1,1,1,44,10:50 AM,12:43 AM,07:32 AM,06:42 PM,-13,-17,-11,-17,20,31,90,0.0,1019,-7,10,247,12
2020-03-02,1,-9,0.0,5.6,1,1,51,11:22 AM,01:48 AM,07:30 AM,06:43 PM,-3,-8,-3,-8,27,93,94,19.8,1009,1,8,167,16
2020-03-03,1,-4,0.0,5.6,1,1,58,12:01 PM,02:52 AM,07:28 AM,06:45 PM,-0,-3,-0,-3,18,87,98,12.1,1003,1,3,147,10
2020-03-04,2,-2,0.2,5.6,1,1,65,12:49 PM,03:54 AM,07:27 AM,06:46 PM,-1,-5,1,-5,41,81,86,9.2,998,2,6,264,25
2020-03-05,1,-6,0.0,11.2,1,1,73,01:48 PM,04:52 AM,07:25 AM,06:47 PM,-4,-7,-2,-7,20,37,92,0.0,1017,1,8,254,11
2020-03-06,-2,-6,3.0,5.6,1,1,80,02:57 PM,05:45 AM,07:23 AM,06:49 PM,-5,-9,-4,-9,28,80,91,4.3,1019,-2,6,33,19
2020-03-07,-2,-11,0.0,11.3,1,1,87,04:13 PM,06:29 AM,07:21 AM,06:50 PM,-9,-12,-7,-12,19,20,83,0.0,1027,-2,10,285,12
2020-03-08,1,-5,0.0,8.6,1,1,95,05:33 PM,07:07 AM,07:19 AM,06:52 PM,-3,-5,-1,-5,20,56,91,0.0,1024,1,8,245,12
2020-03-09,3,-2,0.0,5.7,1,1,100,06:54 PM,07:39 AM,07:17 AM,06:53 PM,0,-2,1,-2,16,73,95,2.7,1021,3,5,203,8
2020-03-10,5,-1,0.0,5.7,1,1,100,08:15 PM,08:08 AM,07:15 AM,06:54 PM,2,-0,2,-0,20,92,97,27.0,1012,5,6,185,10
2020-03-11,-3,-8,0.2,7.2,1,1,84,09:36 PM,08:36 AM,07:14 AM,06:56 PM,-7,-7,-5,-7,9,65,82,0.4,1023,-3,9,105,6
2020-03-12,1,-6,0.0,10.1,1,1,76,10:55 PM,09:04 AM,07:12 AM,06:57 PM,-4,-6,-3,-6,17,71,91,0.0,1021,1,9,48,11
2020-03-13,7,1,0.0,7.2,1,1,69,No moonrise,09:34 AM,07:10 AM,06:58 PM,0,-1,3,-1,50,79,81,18.0,1006,7,8,222,29
2020-03-14,3,-2,0.0,10.2,1,1,62,12:12 AM,10:07 AM,07:08 AM,07:00 PM,-7,-5,0,-5,36,49,60,0.1,1021,3,9,283,25
2020-03-15,2,-7,0.0,11.6,1,1,55,01:26 AM,10:45 AM,07:06 AM,07:01 PM,-12,-8,-4,-8,14,17,54,0.0,1037,2,10,329,10
2020-03-16,-1,-10,0.0,7.4,1,1,47,02:34 AM,11:30 AM,07:04 AM,07:02 PM,-13,-10,-5,-10,13,51,52,0.0,1034,-1,10,79,10
