date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,12,5,0.0,8.7,1,1,11,04:32 AM,02:35 PM,06:39 AM,04:50 PM,1,7,8,7,8,4,65,0.0,1020,12,10,268,5
2020-01-23,12,5,0.0,5.4,1,1,3,05:30 AM,03:29 PM,06:38 AM,04:51 PM,4,5,8,5,34,51,76,2.1,1017,12,9,251,23
2020-01-24,9,0,0.0,7.1,1,1,0,06:20 AM,04:25 PM,06:38 AM,04:52 PM,-2,2,6,2,25,40,60,6.6,1018,9,10,244,19
2020-01-25,13,4,0.0,8.7,1,1,0,07:05 AM,05:24 PM,06:37 AM,04:53 PM,-2,7,8,7,6,0,50,0.0,1028,13,10,227,5
2020-01-26,13,5,0.0,8.7,1,1,4,07:44 AM,06:22 PM,06:37 AM,04:54 PM,3,7,8,7,15,5,72,0.0,1027,13,10,263,10
2020-01-27,14,7,0.0,8.7,1,1,11,08:18 AM,07:19 PM,06:36 AM,04:55 PM,6,9,10,9,8,41,76,0.0,1024,14,10,111,5
2020-01-28,14,8,0.0,5.5,1,1,18,08:49 AM,08:15 PM,06:36 AM,04:57 PM,6,10,10,10,7,65,73,0.0,1018,14,10,12,5
2020-01-29,14,9,0.0,3.8,1,1,26,09:18 AM,09:11 PM,06:35 AM,04:58 PM,8,11,11,11,8,73,81,1.3,1019,14,10,278,6
2020-01-30,15,8,0.0,5.5,1,1,33,09:45 AM,10:05 PM,06:34 AM,04:59 PM,7,10,11,10,28,74,77,1.1,1018,15,10,226,18
2020-01-31,11,6,0.0,4.0,1,1,37,10:11 AM,11:00 PM,06:33 AM,05:00 PM,3,6,9,6,44,70,65,4.3,1011,11,10,268,30
2020-02-01,13,5,0.0,7.1,1,1,49,10:39 AM,11:56 PM,06:33 AM,05:01 PM,3,6,9,6,32,27,65,0.0,1016,13,10,274,21
2020-02-02,15,6,0.0,8.7,1,1,57,11:09 AM,No moonset,06:32 AM,05:02 PM,4,11,11,11,4,4,64,0.0,1022,15,10,264,3
2020-02-03,13,7,0.0,5.6,1,1,64,11:43 AM,12:54 AM,06:31 AM,05:03 PM,5,10,10,10,5,46,70,0.0,1022,13,10,232,3
2020-02-04,15,7,0.0,5.6,1,1,72,12:21 PM,01:54 AM,06:30 AM,05:04 PM,7,10,11,10,17,44,77,0.1,1017,15,10,253,11
2020-02-05,18,10,0.0,8.7,1,1,79,01:07 PM,02:55 AM,06:30 AM,05:05 PM,8,13,13,13,14,29,70,0.3,1015,18,10,240,8
2020-02-06,20,11,0.0,8.7,1,1,87,02:01 PM,03:56 AM,06:29 AM,05:06 PM,7,14,14,14,16,10,63,0.0,1014,20,10,185,10
2020-02-07,11,7,0.0,4.0,1,1,95,03:02 PM,04:55 AM,06:28 AM,05:07 PM,6,7,10,7,36,84,75,5.1,1012,11,8,227,25
2020-02-08,10,2,0.0,4.1,1,1,100,04:10 PM,05:50 AM,06:27 AM,05:08 PM,1,2,6,2,43,74,67,9.0,1012,10,9,287,29
2020-02-09,5,0,0.8,8.7,1,1,100,05:22 PM,06:39 AM,06:26 AM,05:09 PM,-9,-1,2,-1,13,43,47,1.3,1025,5,8,71,9
2020-02-10,5,-2,0.0,7.2,1,1,83,06:34 PM,07:23 AM,06:25 AM,05:10 PM,-9,-0,2,-0,9,31,46,0.1,1025,5,10,231,8
2020-02-11,7,1,0.0,7.2,1,1,75,07:46 PM,08:02 AM,06:24 AM,05:11 PM,-6,2,3,2,6,57,53,1.2,1024,7,10,137,5
2020-02-12,7,3,0.0,4.1,1,1,68,08:56 PM,08:38 AM,06:23 AM,05:12 PM,2,4,5,4,7,100,81,9.7,1023,7,5,140,5
2020-02-13,6,-1,0.0,4.1,1,1,60,10:06 PM,09:12 AM,06:22 AM,05:13 PM,3,2,4,2,13,100,88,3.9,1024,6,8,30,10
2020-02-14,11,4,0.0,4.1,1,1,53,11:14 PM,09:47 AM,06:21 AM,05:14 PM,1,3,6,3,24,82,69,0.0,1027,11,10,78,17
2020-02-15,10,4,0.0,5.6,1,1,45,No moonrise,10:23 AM,06:20 AM,05:15 PM,1,2,6,2,29,81,68,1.0,1021,10,8,55,20
2020-02-16,10,3,0.0,5.6,1,1,38,12:20 AM,11:02 AM,06:19 AM,05:16 PM,2,4,6,4,17,55,74,0.3,1018,10,10,63,12
2020-02-17,13,5,0.0,4.1,1,1,30,01:26 AM,11:45 AM,06:18 AM,05:17 PM,5,8,9,8,11,63,81,0.1,1019,13,10,37,7
2020-02-18,15,6,0.0,7.2,1,1,22,02:27 AM,12:31 PM,06:17 AM,05:18 PM,6,9,11,9,20,55,74,0.0,1019,15,10,73,14
2020-02-19,14,8,0.0,4.1,1,1,15,03:25 AM,01:23 PM,06:16 AM,05:19 PM,8,10,11,10,13,59,82,1.1,1014,14,10,40,9
2020-02-20,16,8,0.0,8.7,1,1,7,04:17 AM,02:18 PM,06:15 AM,05:20 PM,7,10,11,10,33,13,77,0.0,1015,16,10,256,22
2020-02-21,17,8,0.0,8.7,1,1,0,05:03 AM,03:16 PM,06:13 AM,05:21 PM,6,10,12,10,26,34,72,0.8,1014,17,9,194,17
2020-02-22,15,8,0.0,7.2,1,1,0,05:44 AM,04:13 PM,06:12 AM,05:22 PM,7,10,11,10,17,51,75,5.2,1015,15,10,234,11
2020-02-23,17,8,0.0,5.7,1,1,0,06:19 AM,05:11 PM,06:11 AM,05:23 PM,7,12,12,12,8,60,71,1.1,1019,17,10,194,5
2020-02-24,19,8,0.0,8.7,1,1,0,06:50 AM,06:07 PM,06:10 AM,05:24 PM,7,13,13,13,13,26,66,0.0,1014,19,10,132,9
2020-02-25,18,9,0.0,7.2,1,1,8,07:19 AM,07:03 PM,06:09 AM,05:25 PM,8,12,13,12,17,38,72,3.8,1012,18,10,295,11
2020-02-26,17,8,0.0,8.7,1,1,15,07:47 AM,07:58 PM,06:07 AM,05:25 PM,8,11,12,11,25,1,74,0.0,1018,17,10,262,17
